date,convenience_store,store,county_number,county,category,category_name,vendor_no,vendor,item,description,pack,liter_size,state_btl_cost,btl_price,bottle_qty,total
10-04-2014 00:00,NULL,4827,52,Johnson,1032080,IMPORTED VODKA,115,Constellation Wine Company Inc.,34821,Svedka Vodka,6,1750,14.75,22.13,6,132.78
13-05-2014 00:00,NULL,2607,73,Page,1081370,WATERMELON SCHNAPPS,65,Jim Beam Brands,82866,Dekuyper Watermelon Pucker,12,750,5.3,8.45,3,25.35
26-08-2014 00:00,Y,4430,94,Webster,1062310,SPICED RUM,260,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,9,13.5,12,162
05-06-2014 00:00,NULL,2806,23,Clinton,1062310,SPICED RUM,260,Diageo Americas,43336,Captain Morgan Original Spiced,12,750,8.75,13.12,24,314.88
12-03-2014 00:00,Y,4765,31,Dubuque,1012100,CANADIAN WHISKIES,115,Constellation Wine Company Inc.,11788,Black Velvet,6,1750,10.45,15.67,3,47.01
23-07-2014 00:00,NULL,2625,82,Scott,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,55088,Paramount Blackberry Brandy,6,1750,11.29,16.94,3,50.82
25-09-2014 00:00,NULL,2572,7,Black Hawk,1011200,STRAIGHT BOURBON WHISKIES,260,Diageo Americas,17086,Bulleit Bourbon,12,750,16.5,24.75,3,74.25
21-01-2015 00:00,NULL,3825,77,Polk,1032080,IMPORTED VODKA,260,Diageo Americas,34197,Ciroc Luxury Vodka,12,375,9.25,13.88,12,166.56
02-04-2014 00:00,NULL,4118,81,Sac,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,55087,Paramount Blackberry Brandy,12,1000,6.53,9.8,3,29.4
25-03-2014 00:00,NULL,2963,77,Polk,1031200,FLAVORED VODKA,380,Phillips Beverage Company,41989,Uv Cake Vodka,12,750,6.25,9.49,3,28.47
12-01-2015 00:00,NULL,2573,70,Muscatine,1032200,IMPORTED VODKA - MISC,395,Proximo,35891,Three Olives Cake Flavored Vodka,12,750,9.96,14.94,2,29.88
13-01-2015 00:00,NULL,4253,61,Madison,1031200,FLAVORED VODKA,380,Phillips Beverage Company,41604,Uv Grape Vodka,12,750,6.25,9.5,3,28.5
07-01-2015 00:00,NULL,2500,85,Story,1012100,CANADIAN WHISKIES,260,Diageo Americas,11297,Crown Royal Canadian Whisky,12,1000,18.5,27.75,12,333
02-07-2014 00:00,NULL,2626,77,Polk,1081030,COFFEE LIQUEURS,65,Jim Beam Brands,67556,Kamora Coffee Liqueur,12,750,6.3,9.45,3,28.35
12-02-2014 00:00,NULL,2548,77,Polk,1031200,FLAVORED VODKA,380,Phillips Beverage Company,40621,UV Chocolate Cake Mini,6,500,4.89,7.34,6,44.04
29-08-2014 00:00,NULL,3400,77,Polk,1071100,AMERICAN COCKTAILS,421,Sazerac Co. Inc.,59037,Desert Island Long Island Ice Tea Cocktail,12,1000,4.36,6.54,12,78.48
15-01-2015 00:00,NULL,2616,23,Clinton,1031080,80 PROOF VODKA,300,Mccormick Distilling Company,36886,Mccormick Vodka,12,750,3.31,4.97,12,59.64
09-02-2015 00:00,Y,5001,10,Buchanan,1062310,SPICED RUM,260,Diageo Americas,43316,Captain Morgan Private Stock Rum,12,750,11.45,17.18,1,17.18
14-10-2014 00:00,NULL,4559,66,Mitchell,1012200,SCOTCH WHISKIES,260,Diageo Americas,5290,J & B Rare Scotch,12,750,12.25,18.38,2,36.76
24-04-2014 00:00,NULL,4126,52,Johnson,1022100,TEQUILA,350,Luxco-Cleveland,89447,La Prima Tequila/gold,12,1000,6.69,10.04,72,722.88
12-05-2014 00:00,NULL,2599,52,Johnson,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45248,Paramount Gold Rum,6,1750,7.84,11.76,6,70.56
30-07-2014 00:00,NULL,4225,64,Marshall,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,322,U.S. Distilled Prod. Co,75214,Kinky Blue,12,750,10,15,3,45
25-11-2014 00:00,NULL,2616,23,Clinton,1031200,FLAVORED VODKA,380,Phillips Beverage Company,41694,Uv Blue (raspberry) Vodka,12,1000,7.5,11.25,12,135
27-02-2014 00:00,NULL,4288,57,Linn,1012100,CANADIAN WHISKIES,260,Diageo Americas,11366,Crown Royal Special Reserve,12,750,24.5,36.74,1,36.74
03-04-2014 00:00,NULL,4001,14,Carroll,1062310,SPICED RUM,259,Heaven Hill Distilleries Inc.,43026,Admiral Nelson Spiced Rum,12,750,5.78,8.67,12,104.04
17-02-2014 00:00,NULL,3728,78,Pottawattamie,1081015,IMPORTED AMARETTO,305,MHW Ltd,64136,Disaronno Amaretto,12,750,13.86,20.79,1,20.79
30-07-2014 00:00,NULL,3354,82,Scott,1031200,FLAVORED VODKA,380,Phillips Beverage Company,41705,Uv Red (cherry) Vodka,12,1000,7.5,11.25,12,135
13-05-2014 00:00,NULL,3056,99,Wright,1081030,COFFEE LIQUEURS,370,Pernod Ricard USA/Austin Nichols,67526,Kahlua Coffee Liqueur,12,750,12,17.99,4,71.96
03-03-2014 00:00,NULL,2662,70,Muscatine,1081030,COFFEE LIQUEURS,421,Sazerac Co. Inc.,67586,Kapali Coffee Liqueur,12,750,5.72,8.58,6,51.48
08-01-2014 00:00,NULL,2594,97,Woodbury,1081390,IMPORTED SCHNAPPS,260,Diageo Americas,69940,Rumple Minze Mini,12,500,13.5,20.25,1,20.25
06-02-2014 00:00,NULL,2587,77,Polk,1012100,CANADIAN WHISKIES,260,Diageo Americas,11298,Crown Royal Canadian Whisky,6,1750,31.5,47.24,6,283.44
27-01-2015 00:00,NULL,2607,73,Page,1031200,FLAVORED VODKA,260,Diageo Americas,77378,Smirnoff Sorbet Light Raspberry Pomegranate,12,750,8.25,12.38,4,49.52
26-03-2014 00:00,NULL,2642,63,Marion,1031200,FLAVORED VODKA,380,Phillips Beverage Company,41601,Uv Blue (raspberry) Vodka,12,375,3.45,5.18,6,31.08
20-11-2014 00:00,NULL,4840,7,Black Hawk,1081390,IMPORTED SCHNAPPS,421,Sazerac Co. Inc.,69637,Dr. Mcgillicuddy's Cherry Schnapps,12,1000,11,16.5,4,66
23-06-2014 00:00,NULL,4276,95,Winnebago,1031080,80 PROOF VODKA,434,Luxco-St Louis,36308,Hawkeye Vodka,6,1750,7.17,10.76,12,129.12
20-01-2014 00:00,Y,4626,78,Pottawattamie,1031080,80 PROOF VODKA,297,Laird And Company,35916,Five O'clock,12,750,3.37,5.06,24,121.44
30-06-2014 00:00,NULL,2602,40,Hamilton,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,434,Luxco-St Louis,45278,Paramount White Rum,6,1750,7.84,11.76,12,141.12
23-09-2014 00:00,NULL,3783,76,Pocahontas,1062310,SPICED RUM,260,Diageo Americas,43285,Captain Morgan Original Spiced Rum Pet,12,750,9,13.5,12,162
07-11-2014 00:00,NULL,2630,77,Polk,1031080,80 PROOF VODKA,260,Diageo Americas,37998,Smirnoff Vodka 80 Prf,6,1750,14.75,22.13,6,132.78
09-04-2014 00:00,NULL,3791,37,Greene,1012100,CANADIAN WHISKIES,85,Brown-Forman Corporation,12464,Canadian Mist Whisky,24,375,2.9,4.35,1,4.35
11-03-2014 00:00,NULL,3704,74,Palo Alto,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,86672,Jack Daniel's Tennessee Honey,12,1000,17.41,26.12,1,26.12
28-08-2014 00:00,NULL,2593,14,Carroll,1081600,WHISKEY LIQUEUR,259,Heaven Hill Distilleries Inc.,73721,Evan Williams Cinnamon Reserve,12,750,7.94,11.91,4,47.64
17-09-2014 00:00,NULL,4701,8,Boone,1012100,CANADIAN WHISKIES,260,Diageo Americas,11296,Crown Royal,12,750,15,22.5,12,270
30-04-2014 00:00,NULL,3973,85,Story,1081900,MISC. AMERICAN CORDIALS & LIQUEURS,322,U.S. Distilled Prod. Co,75211,Kinky Liqueur,12,750,10,15,4,60
28-08-2014 00:00,NULL,4185,79,Poweshiek,1012100,CANADIAN WHISKIES,85,Brown-Forman Corporation,12478,Canadian Mist Canadian Why Pet,6,1750,10.5,15.75,6,94.5
10-06-2014 00:00,NULL,2651,9,Bremer,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,26822,Jack Daniels Black Label,48,100,1.65,2.48,1,2.48
15-01-2014 00:00,NULL,4295,77,Polk,1012100,CANADIAN WHISKIES,115,Constellation Wine Company Inc.,11776,Black Velvet,12,750,5.23,7.84,12,94.08
06-03-2014 00:00,NULL,2806,23,Clinton,1031080,80 PROOF VODKA,205,E AND J GALLO WINERY,36969,New Amsterdam Vodka,12,750,6.9,10.35,12,124.2
12-03-2014 00:00,NULL,3855,11,Buena Vista,1081700,DISTILLED SPIRITS SPECIALTY,384,Piedmont Distillers,76038,Midnight Moon Cherry,6,750,10.42,15.63,2,31.26
15-01-2014 00:00,NULL,2543,90,Wapello,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19486,Maker's 46,6,750,21,31.5,2,63
01-04-2014 00:00,NULL,4604,50,Jasper,1081600,WHISKEY LIQUEUR,85,Brown-Forman Corporation,86887,Southern Comfort,12,1000,12.48,18.72,1,18.72
17-03-2014 00:00,NULL,2605,57,Linn,1012100,CANADIAN WHISKIES,260,Diageo Americas,11297,Crown Royal Canadian Whisky,12,1000,18.25,27.37,6,164.22
27-05-2014 00:00,NULL,2620,77,Polk,1032080,IMPORTED VODKA,370,Pernod Ricard USA/Austin Nichols,34006,Absolut Swedish Vodka 80 Prf,12,750,11.49,17.24,12,206.88
28-07-2014 00:00,NULL,4091,17,Cerro Gordo,1031080,80 PROOF VODKA,434,Luxco-St Louis,36306,Hawkeye Vodka,12,750,3.34,5.01,12,60.12
02-10-2014 00:00,NULL,2595,24,Crawford,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19061,Jim Beam Mini,12,500,6.83,10.25,1,10.25
25-09-2014 00:00,NULL,2627,77,Polk,1701100,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,4115,Courvoisier VS w/Glass & Recipe Book,6,750,15.75,23.63,6,141.78
31-03-2014 00:00,NULL,2569,57,Linn,1101100,AMERICAN ALCOHOL,434,Luxco-St Louis,41846,Everclear Alcohol,12,750,8.75,13.13,12,157.56
24-02-2014 00:00,NULL,2633,77,Polk,1011200,STRAIGHT BOURBON WHISKIES,65,Jim Beam Brands,19226,Knob Creek,6,750,20.47,30.71,6,184.26
16-06-2014 00:00,NULL,4228,6,Benton,1062310,SPICED RUM,259,Heaven Hill Distilleries Inc.,43028,Admiral Nelson Spiced Rum,6,1750,11.55,17.32,6,103.92
15-01-2014 00:00,NULL,2633,77,Polk,1081200,CREAM LIQUEURS,434,LUXCO,68842,St. Brendan's Superior Irish Cream Liqueur,12,1000,10.69,16.04,12,192.48
19-06-2014 00:00,Y,4595,77,Polk,1012100,CANADIAN WHISKIES,115,Constellation Wine Company Inc.,11773,Black Velvet,48,200,1.56,2.34,48,112.32
20-08-2014 00:00,NULL,2501,85,Story,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,Bacardi U.S.A. Inc.,43121,Bacardi Superior Rum Mini,12,500,5.54,8.31,1,8.31
27-10-2014 00:00,NULL,2662,70,Muscatine,1051010,AMERICAN GRAPE BRANDIES,259,Heaven Hill Distilleries Inc.,52312,Christian Bros Brandy,24,200,1.96,2.94,3,8.82
23-07-2014 00:00,NULL,4334,31,Dubuque,1031080,80 PROOF VODKA,297,Laird And Company,35916,Five O'clock Vodka,12,750,3.37,5.06,12,60.72
07-05-2014 00:00,NULL,4251,85,Story,1041100,AMERICAN DRY GINS,370,Pernod Ricard USA/Austin Nichols,32234,Seagram's Extra Dry Gin,24,375,3.39,5.09,6,30.54
29-01-2014 00:00,NULL,2958,77,Polk,1062310,SPICED RUM,350,PARAMOUNT DISTILLERS INC.,44657,Lady Bligh Spiced Rum,12,1000,7,10.5,12,126
19-05-2014 00:00,NULL,2515,17,Cerro Gordo,1011100,BLENDED WHISKIES,492,Western Spirits Beverage Co. LLC,27433,Bird Dog Peach Flavored Whiskey,6,750,10,15,2,30
20-05-2014 00:00,NULL,3901,94,Webster,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,Bacardi U.S.A. Inc.,43036,Bacardi Gold Rum,12,750,8,12,12,144
